,Gastrocnemius,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius
0,0.05201953,0.4387926,0.114230976,0.43387756,0.45341825,0.3848636,0.2285323,0.22855653,0.24864776,0.37060156
1,0.05525477,0.561684,0.12660092,0.5181326,0.4624934,0.43018913,0.21714854,0.23651133,0.28822497,0.46161726
2,0.060794532,0.6459689,0.1654056,0.6696149,0.52354634,0.5073932,0.26876,0.29163066,0.30950665,0.46324894
3,0.07061916,0.5650893,0.17720468,0.7585043,0.6280967,0.58459556,0.23840605,0.25910974,0.3316491,0.5142569
4,0.08718705,0.4634651,0.1802865,0.74068594,0.5949456,0.61605996,0.18628679,0.2090849,0.34729284,0.44929838
5,0.09613702,0.4045245,0.18851043,0.6540987,0.5253526,0.6185789,0.16127293,0.16468534,0.35466492,0.3817696
6,0.08435456,0.36117864,0.17301866,0.5819724,0.4477165,0.57260484,0.18499388,0.18694983,0.35145533,0.27364224
7,0.06894017,0.28057638,0.15424636,0.51724094,0.3908545,0.5001729,0.19197652,0.15881975,0.3501607,0.22240084
8,0.074967355,0.21498857,0.17431095,0.3949639,0.28016025,0.390993,0.1862878,0.13582698,0.29918483,0.14896432
9,0.06841236,0.16928023,0.18226957,0.32036623,0.2266165,0.32379135,0.18148859,0.12899981,0.24065337,0.10385538
10,0.06319269,0.14163624,0.1796242,0.26636192,0.20058303,0.2883116,0.18688878,0.12489844,0.19659431,0.08815495
11,0.07433425,0.12780283,0.20173943,0.22672182,0.17931998,0.26020914,0.19353297,0.11940234,0.16756973,0.081543624
12,0.07934409,0.11667046,0.21566042,0.18827951,0.15658236,0.22713695,0.1895161,0.11497781,0.14333493,0.07114857
13,0.08705233,0.11817563,0.2223981,0.15657525,0.14204852,0.19686747,0.18312423,0.11641757,0.12998131,0.06600181
14,0.097835414,0.1290422,0.22758108,0.12619655,0.12805015,0.17101811,0.17169356,0.11284786,0.1226294,0.066245824
15,0.1141423,0.1372189,0.22881109,0.098956235,0.11102714,0.1475577,0.15835056,0.10922432,0.119339846,0.06867505
16,0.13932055,0.13168572,0.23278227,0.07923048,0.10567719,0.1359705,0.12791027,0.103995,0.11088161,0.07319572
17,0.15721059,0.1370465,0.24016133,0.07457367,0.109894656,0.14075486,0.105203286,0.098616585,0.10480352,0.08343485
18,0.16121797,0.13876058,0.2384442,0.069604315,0.103904165,0.13277286,0.09331056,0.09218854,0.10112121,0.08820396
19,0.16658185,0.1449044,0.2404414,0.07256658,0.10391575,0.1347867,0.08630065,0.0851509,0.1002395,0.09807118
20,0.1695544,0.15111502,0.24000555,0.07078994,0.09781605,0.13425246,0.07970968,0.07693032,0.099876724,0.10355062
21,0.17665468,0.15163536,0.23924394,0.06725481,0.09366136,0.13365501,0.07548381,0.06852502,0.10144077,0.102452576
22,0.18661028,0.14566538,0.2429675,0.06618969,0.09427587,0.13412906,0.07571131,0.06397518,0.104466766,0.10424761
23,0.19923027,0.13408792,0.25686172,0.06682366,0.096441224,0.1320331,0.07764668,0.06252962,0.10283293,0.111899376
24,0.21648322,0.11999804,0.2838639,0.06936851,0.100660674,0.13094956,0.07895509,0.063313045,0.098260134,0.123532705
25,0.23879926,0.10949898,0.32438526,0.07193437,0.10522946,0.13205767,0.08164695,0.066862196,0.09639466,0.13898128
26,0.273872,0.10521337,0.36695623,0.07586938,0.10757252,0.13153215,0.0863193,0.072581224,0.09839258,0.15412587
27,0.31644315,0.10821778,0.4050783,0.082450494,0.11053464,0.13285826,0.09113954,0.07923232,0.10538534,0.16942489
28,0.36468792,0.11184541,0.43757316,0.086136475,0.11364384,0.13371587,0.0970057,0.08732543,0.109657,0.18888214
29,0.4155853,0.113165535,0.47374344,0.08700531,0.11236302,0.13080814,0.10244762,0.09480787,0.1115415,0.20778126
30,0.48092806,0.11534602,0.5202033,0.08802216,0.10909904,0.1284456,0.103659324,0.1012889,0.11621319,0.23216946
31,0.5642415,0.11687502,0.57468706,0.0845015,0.10285002,0.12510513,0.101132356,0.10396573,0.12498468,0.25425035
32,0.6330634,0.12354693,0.63107955,0.08014385,0.10047437,0.123617865,0.10332861,0.10563321,0.124385595,0.26711383
33,0.7034149,0.13547443,0.6959569,0.07949852,0.10680438,0.12700377,0.113112815,0.10950521,0.11931248,0.27448633
34,0.78801507,0.141791,0.77707624,0.08167717,0.11838244,0.12797631,0.12660803,0.11512322,0.11452806,0.2956263
35,0.84269905,0.15485743,0.8536745,0.08359096,0.1300266,0.13216577,0.15538359,0.12831363,0.111975595,0.3174388
36,0.8744799,0.16106115,0.9062135,0.08503845,0.13539393,0.12734136,0.16899359,0.14142503,0.10964767,0.31019813
37,0.864608,0.16328676,0.92326427,0.09662231,0.15016067,0.12863716,0.18315063,0.1537742,0.13159779,0.29147008
38,0.84212315,0.17190333,0.91916054,0.10203701,0.15514433,0.12969223,0.18368101,0.15763335,0.1719653,0.2732198
39,0.81929666,0.17543852,0.90672636,0.11038998,0.15997902,0.1281914,0.1869501,0.1586289,0.21921815,0.25261125
40,0.77831614,0.18411085,0.88237065,0.110851124,0.1504656,0.11800453,0.19786395,0.15927586,0.2978346,0.21716785
41,0.6937749,0.19295074,0.82666796,0.10227817,0.14023674,0.11056986,0.20355918,0.15609802,0.41432253,0.17336476
42,0.60501516,0.17219162,0.7662673,0.087699205,0.12221268,0.09643106,0.19299169,0.14763853,0.52204,0.1430126
43,0.5302353,0.15915428,0.70936173,0.07682711,0.098730095,0.07927571,0.1737295,0.14159508,0.6289532,0.12277738
44,0.40432945,0.1444986,0.5847525,0.06929377,0.072296396,0.055757407,0.15402712,0.13594161,0.7239933,0.111156374
45,0.28856325,0.1112785,0.44611138,0.059218895,0.05301464,0.04080792,0.13579638,0.13045289,0.7913976,0.10178683
46,0.21828492,0.099362284,0.3355051,0.060677625,0.05657634,0.04443299,0.12894696,0.14188552,0.81334007,0.11615625
47,0.14133444,0.07608695,0.23960067,0.057546813,0.057642564,0.048962124,0.124857046,0.15118396,0.82524025,0.11759456
48,0.07853254,0.054826446,0.16528408,0.052109532,0.050243914,0.04962436,0.13412298,0.15862425,0.8185334,0.1193735
49,0.043559488,0.05379111,0.10674272,0.05305623,0.04665955,0.050643936,0.14210565,0.17997798,0.79319924,0.120152324
50,0.032190453,0.059082657,0.061491553,0.057919256,0.049011394,0.058123767,0.15180528,0.198588,0.7355459,0.11006546
51,0.04055555,0.086825915,0.04612111,0.070538305,0.05571167,0.07503142,0.16306746,0.22762747,0.65718544,0.1071439
52,0.040704962,0.12499562,0.034023188,0.06505364,0.053636115,0.08624998,0.15297428,0.21253717,0.6018983,0.08906819
53,0.040753484,0.16850734,0.035734225,0.06602999,0.05931622,0.106493674,0.13898742,0.17603146,0.5105286,0.09119376
54,0.044697057,0.2083745,0.044439796,0.064019315,0.059084527,0.1203779,0.11667765,0.13922183,0.43297538,0.10098282
55,0.053518016,0.27035567,0.054765437,0.061585438,0.056101408,0.14121391,0.09769333,0.11311708,0.3741703,0.11030197
56,0.06664213,0.3441288,0.06853925,0.060033917,0.050860483,0.1555728,0.08668676,0.09879254,0.31777686,0.1259837
57,0.07049745,0.3984633,0.074246526,0.054404847,0.043771323,0.15727626,0.07532782,0.08547909,0.27252823,0.13373911
58,0.06942503,0.4552914,0.07866612,0.05267005,0.04468888,0.16861033,0.06915035,0.076951966,0.23653777,0.12899181
59,0.0804759,0.49870738,0.086097285,0.05815789,0.05331684,0.18549573,0.06920702,0.07641278,0.22421959,0.12407323
60,0.07802752,0.5431038,0.08837723,0.056237306,0.051505417,0.16350535,0.062465724,0.070685156,0.24928129,0.10325613
61,0.07149151,0.5829176,0.09042137,0.05105032,0.04853845,0.12913412,0.05754234,0.06327641,0.29391226,0.091804035
62,0.06812513,0.6093051,0.09249111,0.04846761,0.04587493,0.103545375,0.05914787,0.06460956,0.3397858,0.082560696
63,0.061733015,0.6209641,0.083435565,0.045697875,0.042717155,0.08428919,0.061000347,0.070166014,0.37534523,0.076238126
64,0.057239205,0.6214756,0.07749742,0.043387495,0.040377013,0.069577485,0.062545955,0.07778107,0.38782078,0.07031527
65,0.056892697,0.614263,0.07546164,0.042194515,0.039472744,0.05836323,0.065216504,0.0890814,0.3767772,0.06618243
